Customer_ID,Name,Age,SSN,Occupation,snapshot_date
CUS_0x1087,Alistairy,51,620-14-7570,Doctor,2024-09-01
CUS_0x1138,Prodhanx,44,832-92-6672,Lawyer,2024-09-01
CUS_0x121b,Cheeu,42,162-52-8159,Architect,2024-09-01
CUS_0x1232,Lawderr,17,441-26-1297,Developer,2024-09-01
CUS_0x140e,Myles Neliganp,41,622-11-3102,Engineer,2024-09-01
CUS_0x1425,Eric Onstadq,34,502-31-6140,Teacher,2024-09-01
CUS_0x146a,Ryanu,35,473-27-3479,Architect,2024-09-01
CUS_0x14c2,Diane Bartzx,31,840-29-3626,Architect,2024-09-01
CUS_0x14f1,Viswanathag,30,#F%$D@*&8,Engineer,2024-09-01
CUS_0x14f6,Jarryj,655,095-65-3687,Doctor,2024-09-01
CUS_0x161b,Pavel Polityukq,38,451-95-0188,Manager,2024-09-01
CUS_0x165a,Margaret Chadbournw,36,863-16-0608,Architect,2024-09-01
CUS_0x1691,Ermanr,44,003-83-8192,Media_Manager,2024-09-01
CUS_0x16b6,Wongy,40,687-03-0707,Accountant,2024-09-01
CUS_0x16ee,Tom Berginw,48,538-37-5854,_______,2024-09-01
CUS_0x1750,Evar,37,270-38-6663,Teacher,2024-09-01
CUS_0x1768,ra Alpert,37,738-21-7582,Writer,2024-09-01
CUS_0x17fc,Andrea Shalal-Esac,26,833-42-2182,Entrepreneur,2024-09-01
CUS_0x1821,Piersonm,18_,045-81-4729,Teacher,2024-09-01
CUS_0x1883,David Millikenw,41,#F%$D@*&8,Lawyer,2024-09-01
CUS_0x1884,Jens Hackg,15,829-82-5789,Accountant,2024-09-01
CUS_0x18a2,Lindan,23,060-44-9617,Developer,2024-09-01
CUS_0x19a9,Dhanya Skariachanh,28,923-50-7465,Engineer,2024-09-01
CUS_0x1a71,Billv,19,708-94-5712,Engineer,2024-09-01
CUS_0x1ad9,Robin Emmotto,22,625-37-5496,Journalist,2024-09-01
CUS_0x1b2a,Noel Rx,21,315-88-0518,Teacher,2024-09-01
CUS_0x1b3b,Greg Roumeliotisq,49,473-62-8692,Lawyer,2024-09-01
CUS_0x1bb6,Ablans,20,#F%$D@*&8,Entrepreneur,2024-09-01
CUS_0x1c7a,Clara Ferreira-Marquesx,32,324-22-8733,Mechanic,2024-09-01
CUS_0x1cd7,Suvashree Deyi,19,112-26-4626,_______,2024-09-01
CUS_0x1d13,Jany,23,132-53-5164,Musician,2024-09-01
CUS_0x1d2b,Clarke,32,115-92-9660,Accountant,2024-09-01
CUS_0x1d70,Slatere,21,655-19-8273,Media_Manager,2024-09-01
CUS_0x1d8d,Leahp,21,306-63-6042,_______,2024-09-01
CUS_0x1e98,Rodrigop,49,933-85-2688,Accountant,2024-09-01
CUS_0x1ebf,Sarah McBridep,50,803-57-9764,_______,2024-09-01
CUS_0x1eea,Madelinew,29,957-07-5513,_______,2024-09-01
CUS_0x1f4a,Langi Chiangy,25,741-62-1913,Mechanic,2024-09-01
CUS_0x211c,Viswanathap,22,859-11-2732,Writer,2024-09-01
CUS_0x21b1,Rick Rothackerj,28,004-07-5839,Teacher,2024-09-01
CUS_0x21c0,Krisztina Thans,54,385-18-5335,Media_Manager,2024-09-01
CUS_0x21df,Bartn,34,106-67-3007,_______,2024-09-01
CUS_0x2219,Lucas Shawq,40,453-62-6215,Architect,2024-09-01
CUS_0x22cf,Emily Flittero,35,693-76-8377,Journalist,2024-09-01
CUS_0x23b4,Baldwinu,35,255-74-3717,Developer,2024-09-01
CUS_0x2418,David Lawders,23,458-08-6224,Writer,2024-09-01
CUS_0x243e,Willsv,41,807-09-3439,Accountant,2024-09-01
CUS_0x2467,Koh Guij,20,772-51-2153,Media_Manager,2024-09-01
CUS_0x246d,Chris Wickhamw,23,680-78-0701,Media_Manager,2024-09-01
CUS_0x253a,Jasone,17,580-53-4920,Accountant,2024-09-01
CUS_0x2561,Farahj,32,433-00-9327,Doctor,2024-09-01
CUS_0x2568,Seetharamanc,27,550-12-0825,Musician,2024-09-01
CUS_0x25aa,Ilainaj,14,177-44-9176,Mechanic,2024-09-01
CUS_0x25e3,Hirschlerz,30,177-35-0873,Journalist,2024-09-01
CUS_0x25f7,Singha,28,627-53-3917,Teacher,2024-09-01
CUS_0x2625,Schnurrx,35,623-33-7162,_______,2024-09-01
CUS_0x268b,Andrea Shalal-Esag,28,647-38-6615,Scientist,2024-09-01
CUS_0x26d2,Ridleyp,47,321-93-4142,Architect,2024-09-01
CUS_0x270c,Yuej,34,218-40-1399,Architect,2024-09-01
CUS_0x278b,Lucia Mutikaniz,37,190-83-1891,Musician,2024-09-01
CUS_0x27fa,Tomt,47,544-49-9604,Manager,2024-09-01
CUS_0x2829,Alistair Barre,32,172-85-1573,Journalist,2024-09-01
CUS_0x28ef,Davidy,25,694-69-4113,Doctor,2024-09-01
CUS_0x298f,Jackie Rangem,53,069-50-9238,Accountant,2024-09-01
CUS_0x2996,Alister Bulld,53,575-10-2764,Mechanic,2024-09-01
CUS_0x29ac,Daniel Basesf,27,708-00-9497,Musician,2024-09-01
CUS_0x29b5,Ellenu,22,466-74-1374,Architect,2024-09-01
CUS_0x2a8e,Annc,23,137-38-5121,Mechanic,2024-09-01
CUS_0x2b00,Maushagenn,51,863-89-6228,Teacher,2024-09-01
CUS_0x2b1c,Abbottg,47,843-09-7358,Teacher,2024-09-01
CUS_0x2b57,Herbst-Baylissi,37,475-16-8677,Manager,2024-09-01
CUS_0x2b62,Rothackere,39,788-00-6739,Developer,2024-09-01
CUS_0x2c8d,Susanr,50,657-32-0636,Mechanic,2024-09-01
CUS_0x2ded,Lisa Baertleina,53,985-21-8683,Engineer,2024-09-01
CUS_0x2ee0,Oranz,26,372-70-7552,Media_Manager,2024-09-01
CUS_0x2eed,Richard Cowank,38,578-81-4278,Manager,2024-09-01
CUS_0x2efd,Stevel,20,637-80-3236,Writer,2024-09-01
CUS_0x2f21,Christiaane,43,491-19-0912,_______,2024-09-01
CUS_0x2f3d,Matthews,53_,591-99-1793,Teacher,2024-09-01
CUS_0x2f7d,Lawderu,51,806-04-3537,Scientist,2024-09-01
