Customer_ID,Name,Age,SSN,Occupation,snapshot_date
CUS_0x1000,Alistair Barrf,18.0,913-74-1218,Lawyer,2023-05-01
CUS_0x1009,Arunah,26.0,063-67-6938,Mechanic,2025-01-01
CUS_0x100b,Shirboni,19.0,,Media_Manager,2024-03-01
CUS_0x1011,Schneyerh,44.0,793-05-8223,Doctor,2023-11-01
CUS_0x1013,Cameront,44.0,930-49-9615,Mechanic,2023-12-01
CUS_0x1015,Holtono,27.0,810-97-7024,Journalist,2023-08-01
CUS_0x1018,Felsenthalq,15.0,731-19-8119,Accountant,2023-11-01
CUS_0x1026,Josephv,52.0,500-62-9044,Manager,2023-10-01
CUS_0x102d,Neil Chatterjeex,31.0,692-71-7552,Entrepreneur,2024-01-01
CUS_0x102e,Rhysn,26.0,,Scientist,2024-04-01
CUS_0x1032,Wahbap,40.0,620-58-8045,Lawyer,2023-08-01
CUS_0x1037,Matthewm,45.0,230-22-9583,Accountant,2023-01-01
CUS_0x1038,B.h,28.0,355-00-7832,Architect,2024-10-01
CUS_0x103e,Tim Kellyf,40.0,155-72-8070,Scientist,2024-12-01
CUS_0x1041,Jonathan Stempela,15.0,675-80-2033,Teacher,2023-11-01
CUS_0x1044,Maki Shirakip,44.0,,,2023-06-01
CUS_0x1048,Janet McGurtyg,27.0,808-81-2470,Accountant,2024-02-01
CUS_0x104a,Leahk,37.0,,Mechanic,2023-12-01
CUS_0x104e,Kentaros,50.0,837-93-5062,Teacher,2023-06-01
CUS_0x104f,Markm,20.0,264-84-8069,,2024-10-01
CUS_0x1051,Lucia Mutikanin,42.0,232-33-7638,Engineer,2024-01-01
CUS_0x1056,Hornbyb,44.0,081-93-4350,Entrepreneur,2023-04-01
CUS_0x1057,David Sheppardv,46.0,741-07-3912,Writer,2023-09-01
CUS_0x105b,Patricia Zengerlel,24.0,,Accountant,2023-11-01
CUS_0x105c,Lopezz,,998-18-7252,Journalist,2023-06-01
CUS_0x1063,Sylvia Westallq,20.0,883-38-8680,Architect,2023-12-01
CUS_0x1069,Andreas Cremero,32.0,761-27-5143,Accountant,2023-01-01
CUS_0x106f,Alwyn Scottk,55.0,517-96-1022,Developer,2023-08-01
CUS_0x1075,Dorfmanv,39.0,225-94-8383,Manager,2024-05-01
CUS_0x107c,Karenh,15.0,712-17-7369,Journalist,2023-11-01
CUS_0x107e,Lianaj,15.0,463-69-6790,Architect,2024-11-01
CUS_0x1087,Alistairy,51.0,620-14-7570,Doctor,2024-09-01
CUS_0x108a,Silvial,38.0,394-00-8142,Journalist,2023-05-01
CUS_0x1096,Edward Krudyk,43.0,228-65-4194,Lawyer,2024-03-01
CUS_0x1098,Krudyz,23.0,466-10-5742,,2025-01-01
CUS_0x109b,Gillesy,55.0,661-04-3699,Manager,2023-10-01
CUS_0x109d,Langep,45.0,260-21-1290,Writer,2024-04-01
CUS_0x109f,Vellacottj,41.0,283-32-0255,Teacher,2025-01-01
CUS_0x10a9,ini Kristenr,41.0,514-08-4156,Journalist,2024-10-01
CUS_0x10aa,Carey Gillama,20.0,101-00-4424,Musician,2023-02-01
CUS_0x10ac,Zhouy,29.0,780-50-4730,Developer,2024-08-01
